size,iteration,time
14580,0,0.001531
14580,1,0.001502
14580,2,0.001592
14580,3,0.001507
14580,4,0.001496
14580,5,0.001457
14580,6,0.001767
14580,7,0.001463
14580,8,0.001375
14580,9,0.001363
14580,10,0.001243
14580,11,0.001248
14580,12,0.001271
14580,13,0.001430
14580,14,0.001521
14580,15,0.001256
14580,16,0.001266
14580,17,0.001211
14580,18,0.001643
14580,19,0.001268
14580,20,0.001230
14580,21,0.001439
14580,22,0.001211
14580,23,0.001335
14580,24,0.001371
14580,25,0.001219
14580,26,0.001271
14580,27,0.001254
14580,28,0.001272
14580,29,0.001243
14580,30,0.001372
14580,31,0.001544
14580,32,0.001277
14580,33,0.001214
14580,34,0.001169
14580,35,0.001213
14580,36,0.001762
14580,37,0.002026
14580,38,0.001431
14580,39,0.001252
14580,40,0.001269
14580,41,0.001238
14580,42,0.001621
14580,43,0.001697
14580,44,0.001379
14580,45,0.001247
14580,46,0.001242
14580,47,0.001277
14580,48,0.001241
14580,49,0.001240
14580,50,0.001377
14580,51,0.001239
14580,52,0.001151
14580,53,0.001145
14580,54,0.001723
14580,55,0.001239
14580,56,0.001130
14580,57,0.001470
14580,58,0.001136
14580,59,0.001211
14580,60,0.001141
14580,61,0.001130
14580,62,0.001145
14580,63,0.001128
14580,64,0.001133
14580,65,0.001206
14580,66,0.001216
14580,67,0.001362
14580,68,0.001287
14580,69,0.001136
14580,70,0.001130
14580,71,0.001140
14580,72,0.001328
14580,73,0.001231
14580,74,0.001174
14580,75,0.001126
14580,76,0.001155
14580,77,0.001127
14580,78,0.001130
14580,79,0.001135
14580,80,0.001163
14580,81,0.001523
14580,82,0.001296
14580,83,0.001131
14580,84,0.001133
14580,85,0.001432
14580,86,0.001265
14580,87,0.001287
14580,88,0.001146
14580,89,0.001231
14580,90,0.001228
14580,91,0.001139
14580,92,0.001204
14580,93,0.001140
14580,94,0.001636
14580,95,0.001664
14580,96,0.001154
14580,97,0.001484
14580,98,0.001395
14580,99,0.001153
29159,0,0.002931
29159,1,0.003179
29159,2,0.002766
29159,3,0.003186
29159,4,0.002909
29159,5,0.002765
29159,6,0.002793
29159,7,0.002842
29159,8,0.002700
29159,9,0.003334
29159,10,0.002891
29159,11,0.002680
29159,12,0.002567
29159,13,0.002481
29159,14,0.002962
29159,15,0.002830
29159,16,0.002549
29159,17,0.002636
29159,18,0.002793
29159,19,0.002729
29159,20,0.002753
29159,21,0.003368
29159,22,0.003574
29159,23,0.002735
29159,24,0.002712
29159,25,0.002571
29159,26,0.003004
29159,27,0.003119
29159,28,0.003254
29159,29,0.002732
29159,30,0.002721
29159,31,0.003243
29159,32,0.002909
29159,33,0.002600
29159,34,0.002684
29159,35,0.002523
29159,36,0.002535
29159,37,0.002831
29159,38,0.003110
29159,39,0.002883
29159,40,0.002550
29159,41,0.002817
29159,42,0.002732
29159,43,0.002984
29159,44,0.002878
29159,45,0.002871
29159,46,0.002730
29159,47,0.002564
29159,48,0.002755
29159,49,0.003473
29159,50,0.002494
29159,51,0.002518
29159,52,0.002641
29159,53,0.002496
29159,54,0.002486
29159,55,0.003071
29159,56,0.002492
29159,57,0.002519
29159,58,0.002504
29159,59,0.002712
29159,60,0.002490
29159,61,0.002964
29159,62,0.002732
29159,63,0.002852
29159,64,0.002727
29159,65,0.002479
29159,66,0.002713
29159,67,0.002781
29159,68,0.002545
29159,69,0.002504
29159,70,0.002656
29159,71,0.002542
29159,72,0.002588
29159,73,0.003054
29159,74,0.002823
29159,75,0.002753
29159,76,0.002471
29159,77,0.002732
29159,78,0.002776
29159,79,0.003016
29159,80,0.002733
29159,81,0.002851
29159,82,0.002732
29159,83,0.002484
29159,84,0.002868
29159,85,0.002860
29159,86,0.002682
29159,87,0.002633
29159,88,0.002906
29159,89,0.002814
29159,90,0.002579
29159,91,0.003113
29159,92,0.002559
29159,93,0.002583
29159,94,0.002588
29159,95,0.002992
29159,96,0.003051
29159,97,0.003381
29159,98,0.002925
29159,99,0.002766
58318,0,0.007050
58318,1,0.007439
58318,2,0.006341
58318,3,0.005739
58318,4,0.006126
58318,5,0.005740
58318,6,0.005448
58318,7,0.006213
58318,8,0.005605
58318,9,0.007664
58318,10,0.005838
58318,11,0.005525
58318,12,0.006225
58318,13,0.005856
58318,14,0.006013
58318,15,0.006409
58318,16,0.005598
58318,17,0.006731
58318,18,0.006350
58318,19,0.005840
58318,20,0.006445
58318,21,0.006797
58318,22,0.006093
58318,23,0.005955
58318,24,0.006261
58318,25,0.006703
58318,26,0.006140
58318,27,0.005575
58318,28,0.005857
58318,29,0.005798
58318,30,0.006010
58318,31,0.005692
58318,32,0.005876
58318,33,0.005853
58318,34,0.005884
58318,35,0.005577
58318,36,0.006116
58318,37,0.005758
58318,38,0.005619
58318,39,0.006060
58318,40,0.005748
58318,41,0.006231
58318,42,0.005915
58318,43,0.005581
58318,44,0.006187
58318,45,0.005797
58318,46,0.005838
58318,47,0.006304
58318,48,0.005730
58318,49,0.005894
58318,50,0.007436
58318,51,0.005717
58318,52,0.006522
58318,53,0.005527
58318,54,0.005740
58318,55,0.006588
58318,56,0.005651
58318,57,0.005845
58318,58,0.005628
58318,59,0.005751
58318,60,0.006365
58318,61,0.005737
58318,62,0.005954
58318,63,0.006391
58318,64,0.005815
58318,65,0.006255
58318,66,0.006038
